title,author,year,filename,gutenberg_url,text_url,ebook_id
The Scarlet Letter,"Hawthorne, Nathaniel",2008,The_Scarlet_Letter_Hawthorne_Nathaniel.txt,https://www.gutenberg.org/ebooks/25344,https://www.gutenberg.org/files/25344/25344-0.txt,25344
Wuthering Heights,"Brontë, Emily",1996,Wuthering_Heights_Brontë_Emily.txt,https://www.gutenberg.org/ebooks/768,https://www.gutenberg.org/files/768/768-0.txt,768
The Wonderful Wizard of Oz,"Baum, L. Frank",1993,The_Wonderful_Wizard_of_Oz_Baum_L_Frank.txt,https://www.gutenberg.org/ebooks/55,https://www.gutenberg.org/files/55/55-0.txt,55
Pride and Prejudice,"Austen, Jane",1998,Pride_and_Prejudice_Austen_Jane.txt,https://www.gutenberg.org/ebooks/1342,https://www.gutenberg.org/files/1342/1342-0.txt,1342
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African","Equiano, Olaudah",2005,The_Interesting_Narrative_of_the_Life_of_Olaudah_Equiano_Or_Gustavus_Vassa_The_AfricanWritten_By_Himself_Equiano_Olaudah.txt,https://www.gutenberg.org/ebooks/15399,https://www.gutenberg.org/files/15399/15399-0.txt,15399
A Study in Scarlet,"Doyle, Arthur Conan",1995,A_Study_in_Scarlet_Doyle_Arthur_Conan.txt,https://www.gutenberg.org/ebooks/244,https://www.gutenberg.org/files/244/244-0.txt,244
Jane Eyre: An Autobiography,"Brontë, Charlotte",1998,Jane_Eyre_An_Autobiography_Brontë_Charlotte.txt,https://www.gutenberg.org/ebooks/1260,https://www.gutenberg.org/files/1260/1260-0.txt,1260
The Prince,"Machiavelli, Niccolò",2006,The_Prince_Machiavelli_Niccolò.txt,https://www.gutenberg.org/ebooks/1232,https://www.gutenberg.org/files/1232/1232-0.txt,1232
Don Quijote,"Cervantes Saavedra, Miguel de",1999,Don_Quijote_Cervantes_Saavedra_Miguel_de.txt,https://www.gutenberg.org/ebooks/2000,https://www.gutenberg.org/files/2000/2000-0.txt,2000
The Yellow Wallpaper,"Gilman, Charlotte Perkins",1999,The_Yellow_Wallpaper_Gilman_Charlotte_Perkins.txt,https://www.gutenberg.org/ebooks/1952,https://www.gutenberg.org/files/1952/1952-0.txt,1952
The Divine Comedy,"Alighieri, Dante",2005,The_divine_comedy_Dante_Alighieri.txt,https://www.gutenberg.org/ebooks/8800,https://www.gutenberg.org/files/8800/8800-0.txt,8800
Leviathan,"Hobbes, Thomas",2002,Leviathan_Hobbes_Thomas.txt,https://www.gutenberg.org/ebooks/3207,https://www.gutenberg.org/files/3207/3207-0.txt,3207
Romeo and Juliet,"Shakespeare, William",1998,Romeo_and_Juliet_Shakespeare_William.txt,https://www.gutenberg.org/ebooks/1513,https://www.gutenberg.org/files/1513/1513-0.txt,1513
Through the Looking-Glass,"Carroll, Lewis",2008,Through_the_Looking-Glass_Carroll_Lewis.txt,https://www.gutenberg.org/ebooks/12,https://www.gutenberg.org/files/12/12-0.txt,12
Beowulf: An Anglo-Saxon Epic Poem,Unknown,2005,Beowulf_An_Anglo-Saxon_Epic_Poem_Unknown.txt,https://www.gutenberg.org/ebooks/16328,https://www.gutenberg.org/files/16328/16328-0.txt,16328
Red Love,"Kollontai, Alexandra",2025,Red_love_Kollontai_A.txt,https://www.gutenberg.org/ebooks/75463,https://www.gutenberg.org/files/75463/75463-0.txt,75463
The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",1997,The_Importance_of_Being_Earnest_A_Trivial_Comedy_for_Serious_People_Wilde_Oscar.txt,https://www.gutenberg.org/ebooks/844,https://www.gutenberg.org/files/844/844-0.txt,844
The Iliad,Homer,2004,The_Iliad_Homer_751_BCE-651_BCE.txt,https://www.gutenberg.org/ebooks/6130,https://www.gutenberg.org/files/6130/6130-0.txt,6130
"Moby Dick; Or, The Whale","Melville, Herman",2001,Moby_Dick_Or_The_Whale_Melville_Herman.txt,https://www.gutenberg.org/ebooks/2701,https://www.gutenberg.org/files/2701/2701-0.txt,2701
Dubliners,"Joyce, James",2001,Dubliners_Joyce_James.txt,https://www.gutenberg.org/ebooks/2814,https://www.gutenberg.org/files/2814/2814-0.txt,2814
The Blue Castle: A Novel,"Montgomery, L. M.",2022,The_Blue_Castle_a_novel_Montgomery_L_M.txt,https://www.gutenberg.org/ebooks/67979,https://www.gutenberg.org/files/67979/67979-0.txt,67979
Little Women,"Alcott, Louisa May",1996,Little_Women_Alcott_Louisa_May.txt,https://www.gutenberg.org/ebooks/514,https://www.gutenberg.org/files/514/514-0.txt,514
Carmilla,"Le Fanu, Joseph Sheridan",2003,Carmilla_Le_Fanu_Joseph_Sheridan.txt,https://www.gutenberg.org/ebooks/10007,https://www.gutenberg.org/files/10007/10007-0.txt,10007
The Souls of Black Folk,"Du Bois, W. E. B",1996,The_Souls_of_Black_Folk_Du_Bois_W_E_B.txt,https://www.gutenberg.org/ebooks/408,https://www.gutenberg.org/files/408/408-0.txt,408
Reise in die Aequinoctial-Gegenden des neuen Continents. Band 2.,"Humboldt, Alexander von",2008,Reise_in_die_Aequinoctial-Gegenden_des_neuen_Continents_Band_2_Humboldt_Alexander_von.txt,https://www.gutenberg.org/ebooks/24746,https://www.gutenberg.org/files/24746/24746-0.txt,24746
Heart of Darkness,"Conrad, Joseph",2006,Heart_of_Darkness_Conrad_Joseph.txt,https://www.gutenberg.org/ebooks/219,https://www.gutenberg.org/files/219/219-0.txt,219
Famous stories from foreign countries,Unknown,2025,Famous_stories_from_foreign_countries_Unknown.txt,https://www.gutenberg.org/ebooks/75466,https://www.gutenberg.org/files/75466/75466-0.txt,75466
Le Morte d'Arthur: Volume 1,"Malory, Thomas, Sir, -1471",1998,Le_Morte_dArthur_Volume_1_Malory_Thomas_Sir_-1471.txt,https://www.gutenberg.org/ebooks/1251,https://www.gutenberg.org/files/1251/1251-0.txt,1251
"Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere)","Rizal, José",2014,Ang_Filibusterismo_Karugtóng_ng_Noli_Me_Tangere_Rizal_José.txt,https://www.gutenberg.org/ebooks/47629,https://www.gutenberg.org/files/47629/47629-0.txt,47629
Anne of Green Gables,"Montgomery, L. M",2008,Anne_of_Green_Gables_Montgomery_L_M.txt,https://www.gutenberg.org/ebooks/45,https://www.gutenberg.org/files/45/45-0.txt,45
A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",2004,A_Christmas_Carol_in_Prose_Being_a_Ghost_Story_of_Christmas_Dickens_Charles.txt,https://www.gutenberg.org/ebooks/46,https://www.gutenberg.org/files/46/46-0.txt,46
A Tale of Two Cities,"Dickens, Charles",1994,A_Tale_of_Two_Cities_Dickens_Charles.txt,https://www.gutenberg.org/ebooks/98,https://www.gutenberg.org/files/98/98-0.txt,98
"Walden, and On The Duty Of Civil Disobedience","Thoreau, Henry David",1995,Walden_and_On_The_Duty_Of_Civil_Disobedience_Thoreau_Henry_David.txt,https://www.gutenberg.org/ebooks/205,https://www.gutenberg.org/files/205/205-0.txt,205
The case of Miss Elliott,"Orczy, Emmuska Orczy, Baroness",2025,The_case_of_Miss_Elliott_Orczy_Emmuska_Orczy_Baroness.txt,https://www.gutenberg.org/ebooks/75461,https://www.gutenberg.org/files/75461/75461-0.txt,75461
The Devil is an Ass,"Jonson, Ben, 1573?-1637",2015,The_Devil_is_an_Ass_Jonson_Ben_1573-1637.txt,https://www.gutenberg.org/ebooks/50150,https://www.gutenberg.org/files/50150/50150-0.txt,50150
My Life — Volume 1,"Wagner, Richard",2004,My_Life_Volume_1_Wagner_Richard.txt,https://www.gutenberg.org/ebooks/5197,https://www.gutenberg.org/files/5197/5197-0.txt,5197
Noli Me Tangere,"Rizal, José",2006,Noli_Me_Tangere_Rizal_José.txt,https://www.gutenberg.org/ebooks/20228,https://www.gutenberg.org/cache/epub/20228/pg20228.txt,20228
Adventures of Huckleberry Finn,"Twain, Mark",2004,Adventures_of_Huckleberry_Finn_Twain_Mark.txt,https://www.gutenberg.org/ebooks/76,https://www.gutenberg.org/files/76/76-0.txt,76
The Republic,"Plato, 428? BCE-348? BCE",1998,The_Republic_Plato_428_BCE-348_BCE.txt,https://www.gutenberg.org/ebooks/1497,https://www.gutenberg.org/files/1497/1497-0.txt,1497
The Legend of Sleepy Hollow,"Irving, Washington",2008,The_Legend_of_Sleepy_Hollow_Irving_Washington.txt,https://www.gutenberg.org/ebooks/41,https://www.gutenberg.org/files/41/41-0.txt,41
The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",2008,The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde_Stevenson_Robert_Louis.txt,https://www.gutenberg.org/ebooks/43,https://www.gutenberg.org/files/43/43-0.txt,43
Ulysses,"Joyce, James",2003,Ulysses_Joyce_James.txt,https://www.gutenberg.org/ebooks/4300,https://www.gutenberg.org/files/4300/4300-0.txt,4300
The OdysseyRendered into English prose for the use of those who cannot read the original,"Homer, 751? BCE-651? BCE",1999,The_OdysseyRendered_into_English_prose_for_the_use_of_those_who_cannot_read_the_original_Homer_751_BCE-651_BCE.txt,https://www.gutenberg.org/ebooks/1727,https://www.gutenberg.org/files/1727/1727-0.txt,1727
A Room with a View,"Forster, E. M",2001,A_Room_with_a_View_Forster_E_M.txt,https://www.gutenberg.org/ebooks/2641,https://www.gutenberg.org/files/2641/2641-0.txt,2641
Du côté de chez Swann,"Proust, Marcel",2001,Du_côté_de_chez_Swann_Proust_Marcel.txt,https://www.gutenberg.org/ebooks/2650,https://www.gutenberg.org/files/2650/2650-0.txt,2650
The Adventures of Roderick Random,"Smollett, T",2003,The_Adventures_of_Roderick_Random_Smollett_T.txt,https://www.gutenberg.org/ebooks/4085,https://www.gutenberg.org/files/4085/4085-0.txt,4085
The Enchanted April,"Von Arnim, Elizabeth",2005,The_Enchanted_April_Von_Arnim_Elizabeth.txt,https://www.gutenberg.org/ebooks/16389,https://www.gutenberg.org/files/16389/16389-0.txt,16389
"White Nights and Other StoriesThe Novels of Fyodor Dostoevsky, Volume X","Dostoyevsky, Fyodor",2011,White_Nights_and_Other_StoriesThe_Novels_of_Fyodor_Dostoevsky_Volume_X_Dostoyevsky_Fyodor.txt,https://www.gutenberg.org/ebooks/36034,https://www.gutenberg.org/files/36034/36034.txt,36034
The Expedition of Humphry Clinker,"Smollett, T",2000,The_Expedition_of_Humphry_Clinker_Smollett_T.txt,https://www.gutenberg.org/ebooks/2160,https://www.gutenberg.org/files/2160/2160-0.txt,2160
"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",2012,Frankenstein_Or_The_Modern_Prometheus_Shelley_Mary_Wollstonecraft.txt,https://www.gutenberg.org/ebooks/41445,https://www.gutenberg.org/files/41445/41445-0.txt,41445
"A Modest ProposalFor preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",1997,A_Modest_ProposalFor_preventing_the_children_of_poor_people_in_Ireland_from_being_a_burden_on_their_parents_or_country_and_for_making_them_beneficial_to_the_publick_Swift_Jonathan.txt,https://www.gutenberg.org/ebooks/1080,https://www.gutenberg.org/files/1080/1080-0.txt,1080
Novo dicionário da língua portuguesa,"Figueiredo, Cândido de",2010,Novo_dicionário_da_língua_portuguesa_Figueiredo_Cândido_de.txt,https://www.gutenberg.org/ebooks/31552,https://www.gutenberg.org/files/31552/31552-0.txt,31552
The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",1999,The_Adventures_of_Sherlock_Holmes_Doyle_Arthur_Conan.txt,https://www.gutenberg.org/ebooks/1661,https://www.gutenberg.org/files/1661/1661-0.txt,1661
The Brothers Karamazov,"Dostoyevsky, Fyodor",2009,The_Brothers_Karamazov_Dostoyevsky_Fyodor.txt,https://www.gutenberg.org/ebooks/28054,https://www.gutenberg.org/files/28054/28054-0.txt,28054
Les Misérables,"Hugo, Victor",2008,Les_Misérables_Hugo_Victor.txt,https://www.gutenberg.org/ebooks/135,https://www.gutenberg.org/files/135/135-0.txt,135
Second Treatise of Government,"Locke, John",2005,Second_Treatise_of_Government_Locke_John.txt,https://www.gutenberg.org/ebooks/7370,https://www.gutenberg.org/files/7370/7370-0.txt,7370
On Liberty,"Mill, John Stuart",2011,On_Liberty_Mill_John_Stuart.txt,https://www.gutenberg.org/ebooks/34901,https://www.gutenberg.org/files/34901/34901.txt,34901
The Confessions of St. Augustine,"Augustine, Saint, Bishop of Hippo",2002,The_Confessions_of_St_Augustine_Augustine_Saint_Bishop_of_Hippo.txt,https://www.gutenberg.org/ebooks/3296,https://www.gutenberg.org/files/3296/3296-0.txt,3296
Winnie-the-Pooh,"Milne, A. A",2022,,https://www.gutenberg.org/ebooks/67098,https://www.gutenberg.org/files/67098/67098-0.txt,67098
The Romance of Lust: A classic Victorian erotic novel,Anonymous,2009,,https://www.gutenberg.org/ebooks/30254,https://www.gutenberg.org/files/30254/30254-0.txt,30254
Alice's Adventures in Wonderland,"Carroll, Lewis",2008,,https://www.gutenberg.org/ebooks/11,https://www.gutenberg.org/files/11/11-0.txt,11
"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",2011,,https://www.gutenberg.org/ebooks/37106,https://www.gutenberg.org/files/37106/37106-0.txt,37106
War and Peace,"Tolstoy, Leo, graf",2001,,https://www.gutenberg.org/ebooks/2600,https://www.gutenberg.org/files/2600/2600-0.txt,2600
"History of Tom Jones, a Foundling","Fielding, Henry",2004,,https://www.gutenberg.org/ebooks/6593,https://www.gutenberg.org/files/6593/6593-0.txt,6593
Dracula,"Stoker, Bram",1995,,https://www.gutenberg.org/ebooks/345,https://www.gutenberg.org/files/345/345-0.txt,345
"Doctrina ChristianaThe first book printed in the Philippines, Manila, 1593.",Unknown,2005,,https://www.gutenberg.org/ebooks/16119,https://www.gutenberg.org/files/16119/16119.txt,16119
A dictionary of American authors,"Adams, Oscar Fay",2023,,https://www.gutenberg.org/ebooks/71324,https://www.gutenberg.org/files/71324/71324-0.txt,71324
The Great Gatsby,"Fitzgerald, F. Scott",2021,,https://www.gutenberg.org/ebooks/64317,https://www.gutenberg.org/files/64317/64317-0.txt,64317
The Picture of Dorian Gray,"Wilde, Oscar",1994,,https://www.gutenberg.org/ebooks/174,https://www.gutenberg.org/files/174/174-0.txt,174
Peter Pan,"Barrie, J. M",2008,,https://www.gutenberg.org/ebooks/16,https://www.gutenberg.org/files/16/16-0.txt,16
The War of the Worlds,"Wells, H. G",2004,,https://www.gutenberg.org/ebooks/36,https://www.gutenberg.org/files/36/36-0.txt,36
Middlemarch,"Eliot, George",1994,,https://www.gutenberg.org/ebooks/145,https://www.gutenberg.org/files/145/145-0.txt,145
